text
"awanmila'sit"
"elaqalsewatl"
"elutuatl"
"ge'gutesing"
"getmete'gl"
"gise'g"
"giso'qon"
"maligeiwatl"
"maligo'tg"
"mattaqta'tl"
"mila'sit"
"mila'sualatl"
"mila'suaqan"
"mila'suatg"
"nuja'q"
"papit"
"papitaqan"
"papuaqan"
"tu'at"
"wali'j"
"wigji'jaqan"
