text
"plays poorly"
"play a gambling game for play for (in cards and board games)"
"impersonate imitate"
"land on top jump on top"
"win all break all destroy all"
"have good time have fun fun to be with enjoyable"
"fun time lots of fun! (interjection)"
"play with amuse"
"play with amuse"
"pluck (as string) tug (a string) pull (a string) jerk (a string)"
"play"
"plays with toy with"
"toy"
"plays with toy with"
"swimmer"
"amuse self"
"toy item made for enjoyment"
"amusement fun time celebration"
"play baseball play ball"
"snowball"
"toy"
